"Database_Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Relay_SolidState:BC2213A","BC2213A","Package_SO:SSO-8-7_6.4x9.7mm_P2.54mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 900mA, SSO-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","SSO*6.4x9.7mm*P2.54mm*","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312161855_BC-BC2213A_C596512.pdf"
"Relay_SolidState:CPC1002N","CPC1002N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 60V, 0.7A, 0.55Ohm, DC, SOP-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1002n-datasheet?assetguid=e3f473b5-dc7a-4246-906b-83ecf53ecf01"
"Relay_SolidState:CPC1004N","CPC1004N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 100V, 0.3A, 4Ohm, DC, SOP-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1004n-datasheet?assetguid=22b75c8c-9a9b-43b7-a575-a19a0130c371"
"Relay_SolidState:CPC1006N","CPC1006N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 60V, 0.075A, 10Ohm, AC/DC, SO-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1006n-datasheet?assetguid=62c4d3a3-07a8-4904-8267-d2dbcff34e41"
"Relay_SolidState:CPC1008N","CPC1008N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 100V, 0.15A, 8Ohm, AC/DC, SO-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1008n-datasheet?assetguid=55b0a818-3bfd-483f-9372-c078b9202476"
"Relay_SolidState:CPC1009N","CPC1009N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 100V, 0.15A, 8Ohm, AC/DC, SO-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1009n-datasheet?assetguid=360c1860-94e5-4f8b-b6de-b035951b70bc"
"Relay_SolidState:CPC1010N","CPC1010N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 250V, 0.17A, 11.5Ohm, AC/DC, SO-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1010n-datasheet?assetguid=554b5181-42cc-4056-a97c-a5b4587fbe84"
"Relay_SolidState:CPC1014N","CPC1014N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 60V, 0.4A, 2Ohm, AC/DC, SO-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1014n-datasheet?assetguid=f8c29b23-94fc-4306-8fcd-2632e2f7140d"
"Relay_SolidState:CPC1016N","CPC1016N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 100V, 0.1A, 16Ohm, SO-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1016n-datasheet?assetguid=3de6e59a-7339-46ae-83d1-ff86c8f3e121"
"Relay_SolidState:CPC1017N","CPC1017N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","Form A, Solid State Relay (Photo MOSFET) 60V, 0.1A, 16Ohm, AC/DC, SO-4","MOSFET Output Photorelay 1-Form-A NO","SOP*3.8x4.1mm*P2.54mm*","https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-cpc1017n-datasheet?assetguid=b4f177f1-629f-4104-97a5-8b8d709e83de"
