Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Transistor_BJT:PMBT2222A,PMBT2222A,MyLib_Package_TO_SOT_SMD:SOT-23,"600mA Ic, 40V Vce, NPN Transistor, SOT-23",NPN Transistor,SOT?23*,https://assets.nexperia.com/documents/data-sheet/PMBT2222A.pdf
Transistor_BJT:PMBT2222AYS,PMBT2222AYS,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"600mA IC, 40V Vce, Dual NPN/NPN Transistors, SOT-363",NPN/NPN Transistor,SOT?363*,https://assets.nexperia.com/documents/data-sheet/PMBT2222AYS.pdf
Transistor_BJT:PMBT3904YS,PMBT3904YS,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"200mA IC, 40V Vce, Dual NPN/NPN Transistors, SOT-363",NPN/NPN Transistor,SOT?363*,https://assets.nexperia.com/documents/data-sheet/PMBT3904YS.pdf
Transistor_BJT:PMBT3906YS,PMBT3906YS,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"200mA IC, 40V Vce, Dual PNP/PNP Transistors, SOT-363",PNP/PNP Transistor,SOT?363*,https://assets.nexperia.com/documents/data-sheet/PMBT3906YS.pdf
Transistor_BJT:PMBT3946YPN,PMBT3946YPN,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"200mA IC, 40V Vce, Dual NPN/PNP Transistors, SOT-363",NPN/PNP Transistor,SOT?363*,https://assets.nexperia.com/documents/data-sheet/PMBT3946YPN.pdf
Transistor_BJT:PN2222A,PN2222A,MyLib_Package_TO_SOT_THT:TO-92_Inline,"1A Ic, 40V Vce, NPN Transistor, General Purpose Transistor, TO-92",NPN Transistor,TO?92*,https://www.onsemi.com/pub/Collateral/PN2222-D.PDF
Transistor_BJT:PUMT1,PUMT1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"100mA IC, 40V Vce, Dual PNP/PNP Transistors, SOT-363",PNP/PNP Transistor,SOT?363*,https://assets.nexperia.com/documents/data-sheet/PUMT1.pdf
Transistor_BJT:PUMX1,PUMX1,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,"100mA IC, 40V Vce, Dual NPN/NPN Transistors, SOT-363",NPN/NPN Transistor,SOT?363*,https://assets.nexperia.com/documents/data-sheet/PUMX1.pdf
Transistor_BJT:PZT2222A,PZT2222A,MyLib_Package_TO_SOT_SMD:SOT-223-3_TabPin2,"1A Ic, 40V Vce, NPN Transistor, General Purpose Transistor, SOT-223",NPN General Puprose Transistor SMD,SOT?223*,https://www.onsemi.com/pub/Collateral/PN2222-D.PDF
Transistor_BJT:PZT3904,PZT3904,MyLib_Package_TO_SOT_SMD:SOT-223-3_TabPin2,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-223",NPN Transistor,SOT?223*,https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf
Transistor_BJT:PZT3906,PZT3906,MyLib_Package_TO_SOT_SMD:SOT-223-3_TabPin2,"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, SOT-223",PNP Transistor,SOT?223*,https://www.onsemi.com/pdf/datasheet/pzt3906-d.pdf
Transistor_BJT:PZTA42,PZTA42,MyLib_Package_TO_SOT_SMD:SOT-223-3_TabPin2,"0.5A Ic, 300V Vce, NPN High Voltage Transistor, SOT-223",NPN High Voltage Transistor SMD,SOT?223*,https://www.onsemi.com/pub/Collateral/PZTA42T1-D.PDF
Transistor_BJT:PZTA92,PZTA92,MyLib_Package_TO_SOT_SMD:SOT-223-3_TabPin2,"0.5A Ic, 300V Vce, PNP High Voltage Transistor, SOT-223",PNP High Voltage Transistor,SOT?223*,https://www.onsemi.com/pub/Collateral/PZTA92T1-D.PDF
